Goal Number,Goal Number (group),Goal Date,Goal Type,Scorer Name,Team,Versus,X,Y
100,Other,6/26/2018,a goal,Lionel Messi,Argentina,Nigeria,91,40
99,Other,6/26/2018,a goal,Paolo Guerrero,Peru,Australia,92,60
98,Other,6/26/2018,a goal,André Carrillo,Peru,Australia,88,34
97,Other,6/25/2018,a goal,Iago Aspas,Spain,Morocco,96,45
96,Other,6/25/2018,a goal,Youssef En-Nesyri,Morocco,Spain,91,50
95,Other,6/25/2018,a goal,Isco,Spain,Morocco,93,54
94,Other,6/25/2018,a goal,Khalid Boutaïb,Morocco,Spain,87,45
93,Other,6/25/2018,a goal,Karim Ansarifard,Iran,Portugal,89,50
92,Other,6/25/2018,a goal,Ricardo Quaresma,Portugal,Iran,82,29
91,Other,6/25/2018,a goal,Salem Al Dawsari,Saudi Arabia,Egypt,95,33
90,Other,6/25/2018,a goal,Salman Al Faraj,Saudi Arabia,Egypt,89,50
89,Other,6/25/2018,a goal,Mohamed Salah,Egypt,Saudi Arabia,82,47
88,Other,6/25/2018,a goal,Edinson Cavani,Uruguay,Russia,98,52
87,"7, 16, 20 and 3 more",6/25/2018,an own goal,Denis Cheryshev,Russia,Uruguay,20,35
86,Other,6/25/2018,a goal,Luis Suárez,Uruguay,Russia,82,54
85,Other,6/24/2018,a goal,Juan Cuadrado,Colombia,Poland,86,56
84,Other,6/24/2018,a goal,Radamel Falcao,Colombia,Poland,91,37
83,Other,6/24/2018,a goal,Yerry Mina,Colombia,Poland,97,50
82,Other,6/24/2018,a goal,Keisuke Honda,Japan,Senegal,93,46
81,Other,6/24/2018,a goal,Moussa Wagué,Senegal,Japan,95,37
80,Other,6/24/2018,a goal,Takashi Inui,Japan,Senegal,89,68
79,Other,6/24/2018,a goal,Sadio Mané,Senegal,Japan,96,53
78,Other,6/24/2018,a goal,Felipe Baloy,Panama,England,88,48
77,Other,6/24/2018,a goal,Harry Kane,England,Panama,86,40
76,Other,6/24/2018,a goal,Harry Kane,England,Panama,89,50
75,Other,6/24/2018,a goal,John Stones,England,Panama,98,56
74,Other,6/24/2018,a goal,Jesse Lingard,England,Panama,79,58
73,Other,6/24/2018,a goal,Harry Kane,England,Panama,88,50
72,Other,6/24/2018,a goal,John Stones,England,Panama,90,47
71,Other,6/23/2018,a goal,Son Heung-Min,Korea Republic,Mexico,78,32
70,Other,6/23/2018,a goal,Javier Hernández,Mexico,Korea Republic,91,61
69,Other,6/23/2018,a goal,Carlos Vela,Mexico,Korea Republic,89,50
68,Other,6/23/2018,a goal,Toni Kroos,Germany,Sweden,94,76
67,Other,6/23/2018,a goal,Marco Reus,Germany,Sweden,93,52
66,Other,6/23/2018,a goal,Ola Toivonen,Sweden,Germany,91,42
65,Other,6/23/2018,a goal,Wahbi Khazri,Tunisia,Belgium,91,45
64,Other,6/23/2018,a goal,Michy Batshuayi,Belgium,Tunisia,93,57
63,Other,6/23/2018,a goal,Eden Hazard,Belgium,Tunisia,88,54
62,Other,6/23/2018,a goal,Romelu Lukaku,Belgium,Tunisia,92,40
61,Other,6/23/2018,a goal,Dylan Bronn,Tunisia,Belgium,91,52
60,Other,6/23/2018,a goal,Romelu Lukaku,Belgium,Tunisia,86,59
59,Other,6/23/2018,a goal,Eden Hazard,Belgium,Tunisia,89,50
58,Other,6/22/2018,a goal,Xherdan Shaqiri,Switzerland,Serbia,91,64
57,Other,6/22/2018,a goal,Granit Xhaka,Switzerland,Serbia,77,69
56,Other,6/22/2018,a goal,Aleksandar Mitrovic,Serbia,Switzerland,93,50
55,Other,6/22/2018,a goal,Ahmed Musa,Nigeria,Iceland,92,47
54,Other,6/22/2018,a goal,Ahmed Musa,Nigeria,Iceland,91,43
53,Other,6/22/2018,a goal,Neymar,Brazil,Costa Rica,95,51
52,Other,6/22/2018,a goal,Philippe Coutinho,Brazil,Costa Rica,91,53
51,Other,6/21/2018,a goal,Ivan Rakitic,Croatia,Argentina,93,48
50,Other,6/21/2018,a goal,Luka Modric,Croatia,Argentina,76,41
49,Other,6/21/2018,a goal,Ante Rebic,Croatia,Argentina,89,62
48,Other,6/21/2018,a goal,Mile Jedinak,Australia,Denmark,89,50
47,Other,6/21/2018,a goal,Christian Eriksen,Denmark,Australia,86,52
46,Other,6/21/2018,a goal,Kylian Mbappé,France,Peru,97,50
45,Other,6/20/2018,a goal,Diego Costa,Spain,Iran,87,55
44,Other,6/20/2018,a goal,Luis Suárez,Uruguay,Saudi Arabia,95,47
43,Other,6/20/2018,a goal,Cristiano Ronaldo,Portugal,Morocco,95,49
42,Other,6/19/2018,a goal,Mohamed Salah,Egypt,Russia,89,50
41,Other,6/19/2018,a goal,Artem Dzyuba,Russia,Egypt,87,45
40,Other,6/19/2018,a goal,Denis Cheryshev,Russia,Egypt,92,47
39,"7, 16, 20 and 3 more",6/19/2018,an own goal,Ahmed Fathy,Egypt,Russia,9,47
38,Other,6/19/2018,a goal,Yuya Osako,Japan,Colombia,96,53
37,Other,6/19/2018,a goal,Juan Quintero,Colombia,Japan,79,28
36,Other,6/19/2018,a goal,Shinji Kagawa,Japan,Colombia,89,50
35,Other,6/19/2018,a goal,Grzegorz Krychowiak,Poland,Senegal,92,59
34,Other,6/19/2018,a goal,M'Baye Niang,Senegal,Poland,92,49
33,"7, 16, 20 and 3 more",6/19/2018,an own goal,Thiago Cionek,Poland,Senegal,13,47
32,Other,6/18/2018,a goal,Harry Kane,England,Tunisia,98,58
31,Other,6/18/2018,a goal,Ferjani Sassi,Tunisia,England,89,50
30,Other,6/18/2018,a goal,Harry Kane,England,Tunisia,97,45
29,Other,6/18/2018,a goal,Romelu Lukaku,Belgium,Panama,89,68
28,Other,6/18/2018,a goal,Romelu Lukaku,Belgium,Panama,94,49
27,Other,6/18/2018,a goal,Dries Mertens,Belgium,Panama,87,27
26,Other,6/18/2018,a goal,Andreas Granqvist,Sweden,Korea Republic,88,50
25,Other,6/17/2018,a goal,Hirving Lozano,Mexico,Germany,91,61
24,Other,6/17/2018,a goal,Steven Zuber,Switzerland,Brazil,97,48
23,Other,6/17/2018,a goal,Philippe Coutinho,Brazil,Switzerland,80,71
22,Other,6/17/2018,a goal,Aleksandar Kolarov,Serbia,Costa Rica,74,29
21,Other,6/16/2018,a goal,Luka Modric,Croatia,Nigeria,89,50
20,"7, 16, 20 and 3 more",6/16/2018,an own goal,Oghenekaro Etebo,Nigeria,Croatia,3,47
19,Other,6/16/2018,a goal,Yussuf Poulsen,Denmark,Peru,89,61
18,Other,6/16/2018,a goal,Alfred Finnbogason,Iceland,Argentina,93,53
17,Other,6/16/2018,a goal,Sergio Agüero,Argentina,Iceland,87,59
16,"7, 16, 20 and 3 more",6/16/2018,an own goal,Aziz Behich,Australia,France,13,53
15,Other,6/16/2018,a goal,Mile Jedinak,Australia,France,89,50
14,Other,6/16/2018,a goal,Antoine Griezmann,France,Australia,89,50
13,Other,6/15/2018,a goal,Cristiano Ronaldo,Portugal,Spain,77,43
12,Other,6/15/2018,a goal,Nacho,Spain,Portugal,79,37
11,Other,6/15/2018,a goal,Diego Costa,Spain,Portugal,96,50
10,Other,6/15/2018,a goal,Cristiano Ronaldo,Portugal,Spain,82,53
9,Other,6/15/2018,a goal,Diego Costa,Spain,Portugal,85,45
8,Other,6/15/2018,a goal,Cristiano Ronaldo,Portugal,Spain,89,50
7,"7, 16, 20 and 3 more",6/15/2018,an own goal,Aziz Bouhaddouz,Morocco,Iran,5,45
6,Other,6/15/2018,a goal,José Giménez,Uruguay,Egypt,91,53
5,Other,6/14/2018,a goal,Aleksandr Golovin,Russia,Saudi Arabia,79,33
4,Other,6/14/2018,a goal,Denis Cheryshev,Russia,Saudi Arabia,85,70
3,Other,6/14/2018,a goal,Artem Dzyuba,Russia,Saudi Arabia,93,52
2,Other,6/14/2018,a goal,Denis Cheryshev,Russia,Saudi Arabia,92,58
1,Other,6/14/2018,a goal,Yuri Gazinskiy,Russia,Saudi Arabia,92,44
